support,itemsets
0.16842105263157894,"frozenset({0, 3, 4})"
0.25263157894736843,"frozenset({0, 3, 5})"
0.3157894736842105,"frozenset({0, 3, 6})"
0.2631578947368421,"frozenset({0, 3, 7})"
0.2,"frozenset({0, 4, 5})"
0.2,"frozenset({0, 4, 6})"
0.17894736842105263,"frozenset({0, 4, 7})"
0.29473684210526313,"frozenset({0, 5, 6})"
0.29473684210526313,"frozenset({0, 5, 7})"
0.3368421052631579,"frozenset({0, 6, 7})"
0.24210526315789474,"frozenset({1, 2, 3})"
0.17894736842105263,"frozenset({1, 2, 4})"
0.24210526315789474,"frozenset({1, 2, 5})"
0.25263157894736843,"frozenset({1, 2, 6})"
0.22105263157894736,"frozenset({1, 2, 7})"
0.1368421052631579,"frozenset({1, 3, 4})"
0.21052631578947367,"frozenset({1, 3, 5})"
0.2631578947368421,"frozenset({1, 3, 6})"
0.2,"frozenset({1, 3, 7})"
0.16842105263157894,"frozenset({1, 4, 5})"
0.17894736842105263,"frozenset({1, 4, 6})"
0.15789473684210525,"frozenset({1, 4, 7})"
0.23157894736842105,"frozenset({1, 5, 6})"
0.18947368421052632,"frozenset({1, 5, 7})"
0.23157894736842105,"frozenset({1, 6, 7})"
0.15789473684210525,"frozenset({2, 3, 4})"
0.2736842105263158,"frozenset({2, 3, 5})"
0.3473684210526316,"frozenset({2, 3, 6})"
0.30526315789473685,"frozenset({2, 3, 7})"
0.16842105263157894,"frozenset({2, 4, 5})"
0.16842105263157894,"frozenset({2, 4, 6})"
0.16842105263157894,"frozenset({2, 4, 7})"
0.2631578947368421,"frozenset({2, 5, 6})"
0.2631578947368421,"frozenset({2, 5, 7})"
0.3368421052631579,"frozenset({2, 6, 7})"
0.17894736842105263,"frozenset({3, 4, 5})"
0.2,"frozenset({3, 4, 6})"
0.14736842105263157,"frozenset({3, 4, 7})"
0.3157894736842105,"frozenset({3, 5, 6})"
0.2736842105263158,"frozenset({3, 5, 7})"
0.35789473684210527,"frozenset({3, 6, 7})"
0.21052631578947367,"frozenset({4, 5, 6})"
0.2,"frozenset({4, 5, 7})"
0.22105263157894736,"frozenset({4, 6, 7})"
0.3473684210526316,"frozenset({5, 6, 7})"
0.2,"frozenset({0, 1, 2, 3})"
0.11578947368421053,"frozenset({0, 1, 2, 4})"
0.17894736842105263,"frozenset({0, 1, 2, 5})"
0.2,"frozenset({0, 1, 2, 6})"
0.16842105263157894,"frozenset({0, 1, 2, 7})"
0.10526315789473684,"frozenset({0, 1, 3, 4})"
0.14736842105263157,"frozenset({0, 1, 3, 5})"
0.18947368421052632,"frozenset({0, 1, 3, 6})"
0.14736842105263157,"frozenset({0, 1, 3, 7})"
0.12631578947368421,"frozenset({0, 1, 4, 5})"
0.12631578947368421,"frozenset({0, 1, 4, 6})"
0.09473684210526316,"frozenset({0, 1, 4, 7})"
0.18947368421052632,"frozenset({0, 1, 5, 6})"
0.15789473684210525,"frozenset({0, 1, 5, 7})"
0.16842105263157894,"frozenset({0, 1, 6, 7})"
0.1368421052631579,"frozenset({0, 2, 3, 4})"
0.22105263157894736,"frozenset({0, 2, 3, 5})"
0.2736842105263158,"frozenset({0, 2, 3, 6})"
0.24210526315789474,"frozenset({0, 2, 3, 7})"
0.14736842105263157,"frozenset({0, 2, 4, 5})"
0.12631578947368421,"frozenset({0, 2, 4, 6})"
0.11578947368421053,"frozenset({0, 2, 4, 7})"
0.22105263157894736,"frozenset({0, 2, 5, 6})"
0.23157894736842105,"frozenset({0, 2, 5, 7})"
0.2631578947368421,"frozenset({0, 2, 6, 7})"
0.1368421052631579,"frozenset({0, 3, 4, 5})"
0.12631578947368421,"frozenset({0, 3, 4, 6})"
0.10526315789473684,"frozenset({0, 3, 4, 7})"
0.22105263157894736,"frozenset({0, 3, 5, 6})"
0.21052631578947367,"frozenset({0, 3, 5, 7})"
0.25263157894736843,"frozenset({0, 3, 6, 7})"
0.14736842105263157,"frozenset({0, 4, 5, 6})"
0.14736842105263157,"frozenset({0, 4, 5, 7})"
0.14736842105263157,"frozenset({0, 4, 6, 7})"
0.25263157894736843,"frozenset({0, 5, 6, 7})"
0.09473684210526316,"frozenset({1, 2, 3, 4})"
0.16842105263157894,"frozenset({1, 2, 3, 5})"
0.2,"frozenset({1, 2, 3, 6})"
0.16842105263157894,"frozenset({1, 2, 3, 7})"
0.12631578947368421,"frozenset({1, 2, 4, 5})"
0.11578947368421053,"frozenset({1, 2, 4, 6})"
0.11578947368421053,"frozenset({1, 2, 4, 7})"
0.17894736842105263,"frozenset({1, 2, 5, 6})"
0.15789473684210525,"frozenset({1, 2, 5, 7})"
0.18947368421052632,"frozenset({1, 2, 6, 7})"
0.10526315789473684,"frozenset({1, 3, 4, 5})"
0.12631578947368421,"frozenset({1, 3, 4, 6})"
0.09473684210526316,"frozenset({1, 3, 4, 7})"
0.17894736842105263,"frozenset({1, 3, 5, 6})"
0.15789473684210525,"frozenset({1, 3, 5, 7})"
0.18947368421052632,"frozenset({1, 3, 6, 7})"
0.12631578947368421,"frozenset({1, 4, 5, 6})"
0.11578947368421053,"frozenset({1, 4, 5, 7})"
0.11578947368421053,"frozenset({1, 4, 6, 7})"
0.17894736842105263,"frozenset({1, 5, 6, 7})"
0.11578947368421053,"frozenset({2, 3, 4, 5})"
0.11578947368421053,"frozenset({2, 3, 4, 6})"
0.10526315789473684,"frozenset({2, 3, 4, 7})"
0.23157894736842105,"frozenset({2, 3, 5, 6})"
0.22105263157894736,"frozenset({2, 3, 5, 7})"
0.29473684210526313,"frozenset({2, 3, 6, 7})"
0.09473684210526316,"frozenset({2, 4, 5, 6})"
0.10526315789473684,"frozenset({2, 4, 5, 7})"
0.12631578947368421,"frozenset({2, 4, 6, 7})"
0.23157894736842105,"frozenset({2, 5, 6, 7})"
0.14736842105263157,"frozenset({3, 4, 5, 6})"
0.12631578947368421,"frozenset({3, 4, 5, 7})"
0.1368421052631579,"frozenset({3, 4, 6, 7})"
0.2631578947368421,"frozenset({3, 5, 6, 7})"
0.16842105263157894,"frozenset({4, 5, 6, 7})"
0.09473684210526316,"frozenset({0, 1, 2, 3, 4})"
0.1368421052631579,"frozenset({0, 1, 2, 3, 5})"
0.16842105263157894,"frozenset({0, 1, 2, 3, 6})"
0.14736842105263157,"frozenset({0, 1, 2, 3, 7})"
0.10526315789473684,"frozenset({0, 1, 2, 4, 5})"
0.09473684210526316,"frozenset({0, 1, 2, 4, 6})"
0.08421052631578947,"frozenset({0, 1, 2, 4, 7})"
0.15789473684210525,"frozenset({0, 1, 2, 5, 6})"
0.14736842105263157,"frozenset({0, 1, 2, 5, 7})"
0.15789473684210525,"frozenset({0, 1, 2, 6, 7})"
0.08421052631578947,"frozenset({0, 1, 3, 4, 5})"
0.09473684210526316,"frozenset({0, 1, 3, 4, 6})"
0.07368421052631578,"frozenset({0, 1, 3, 4, 7})"
0.1368421052631579,"frozenset({0, 1, 3, 5, 6})"
0.12631578947368421,"frozenset({0, 1, 3, 5, 7})"
0.1368421052631579,"frozenset({0, 1, 3, 6, 7})"
0.10526315789473684,"frozenset({0, 1, 4, 5, 6})"
0.09473684210526316,"frozenset({0, 1, 4, 5, 7})"
0.08421052631578947,"frozenset({0, 1, 4, 6, 7})"
0.14736842105263157,"frozenset({0, 1, 5, 6, 7})"
0.11578947368421053,"frozenset({0, 2, 3, 4, 5})"
0.09473684210526316,"frozenset({0, 2, 3, 4, 6})"
0.08421052631578947,"frozenset({0, 2, 3, 4, 7})"
0.18947368421052632,"frozenset({0, 2, 3, 5, 6})"
0.18947368421052632,"frozenset({0, 2, 3, 5, 7})"
0.23157894736842105,"frozenset({0, 2, 3, 6, 7})"
0.09473684210526316,"frozenset({0, 2, 4, 5, 6})"
0.10526315789473684,"frozenset({0, 2, 4, 5, 7})"
0.09473684210526316,"frozenset({0, 2, 4, 6, 7})"
0.2,"frozenset({0, 2, 5, 6, 7})"
0.10526315789473684,"frozenset({0, 3, 4, 5, 6})"
0.10526315789473684,"frozenset({0, 3, 4, 5, 7})"
0.09473684210526316,"frozenset({0, 3, 4, 6, 7})"
0.2,"frozenset({0, 3, 5, 6, 7})"
0.12631578947368421,"frozenset({0, 4, 5, 6, 7})"
0.08421052631578947,"frozenset({1, 2, 3, 4, 5})"
0.08421052631578947,"frozenset({1, 2, 3, 4, 6})"
0.07368421052631578,"frozenset({1, 2, 3, 4, 7})"
0.14736842105263157,"frozenset({1, 2, 3, 5, 6})"
0.1368421052631579,"frozenset({1, 2, 3, 5, 7})"
0.15789473684210525,"frozenset({1, 2, 3, 6, 7})"
0.08421052631578947,"frozenset({1, 2, 4, 5, 6})"
0.08421052631578947,"frozenset({1, 2, 4, 5, 7})"
0.08421052631578947,"frozenset({1, 2, 4, 6, 7})"
0.14736842105263157,"frozenset({1, 2, 5, 6, 7})"
0.09473684210526316,"frozenset({1, 3, 4, 5, 6})"
0.09473684210526316,"frozenset({1, 3, 4, 5, 7})"
0.08421052631578947,"frozenset({1, 3, 4, 6, 7})"
0.14736842105263157,"frozenset({1, 3, 5, 6, 7})"
0.10526315789473684,"frozenset({1, 4, 5, 6, 7})"
0.08421052631578947,"frozenset({2, 3, 4, 5, 6})"
0.08421052631578947,"frozenset({2, 3, 4, 5, 7})"
0.09473684210526316,"frozenset({2, 3, 4, 6, 7})"
0.21052631578947367,"frozenset({2, 3, 5, 6, 7})"
0.08421052631578947,"frozenset({2, 4, 5, 6, 7})"
0.11578947368421053,"frozenset({3, 4, 5, 6, 7})"
0.08421052631578947,"frozenset({0, 1, 2, 3, 4, 5})"
0.08421052631578947,"frozenset({0, 1, 2, 3, 4, 6})"
0.07368421052631578,"frozenset({0, 1, 2, 3, 4, 7})"
0.12631578947368421,"frozenset({0, 1, 2, 3, 5, 6})"
0.12631578947368421,"frozenset({0, 1, 2, 3, 5, 7})"
0.1368421052631579,"frozenset({0, 1, 2, 3, 6, 7})"
0.08421052631578947,"frozenset({0, 1, 2, 4, 5, 6})"
0.08421052631578947,"frozenset({0, 1, 2, 4, 5, 7})"
0.07368421052631578,"frozenset({0, 1, 2, 4, 6, 7})"
0.1368421052631579,"frozenset({0, 1, 2, 5, 6, 7})"
0.07368421052631578,"frozenset({0, 1, 3, 4, 5, 6})"
0.07368421052631578,"frozenset({0, 1, 3, 4, 5, 7})"
0.06315789473684211,"frozenset({0, 1, 3, 4, 6, 7})"
0.11578947368421053,"frozenset({0, 1, 3, 5, 6, 7})"
0.08421052631578947,"frozenset({0, 1, 4, 5, 6, 7})"
0.08421052631578947,"frozenset({0, 2, 3, 4, 5, 6})"
0.08421052631578947,"frozenset({0, 2, 3, 4, 5, 7})"
0.07368421052631578,"frozenset({0, 2, 3, 4, 6, 7})"
0.17894736842105263,"frozenset({0, 2, 3, 5, 6, 7})"
0.08421052631578947,"frozenset({0, 2, 4, 5, 6, 7})"
0.09473684210526316,"frozenset({0, 3, 4, 5, 6, 7})"
0.07368421052631578,"frozenset({1, 2, 3, 4, 5, 6})"
0.07368421052631578,"frozenset({1, 2, 3, 4, 5, 7})"
0.06315789473684211,"frozenset({1, 2, 3, 4, 6, 7})"
0.12631578947368421,"frozenset({1, 2, 3, 5, 6, 7})"
0.07368421052631578,"frozenset({1, 2, 4, 5, 6, 7})"
0.08421052631578947,"frozenset({1, 3, 4, 5, 6, 7})"
0.07368421052631578,"frozenset({2, 3, 4, 5, 6, 7})"
0.07368421052631578,"frozenset({0, 1, 2, 3, 4, 5, 6})"
0.07368421052631578,"frozenset({0, 1, 2, 3, 4, 5, 7})"
0.06315789473684211,"frozenset({0, 1, 2, 3, 4, 6, 7})"
0.11578947368421053,"frozenset({0, 1, 2, 3, 5, 6, 7})"
0.07368421052631578,"frozenset({0, 1, 2, 4, 5, 6, 7})"
0.06315789473684211,"frozenset({0, 1, 3, 4, 5, 6, 7})"
0.07368421052631578,"frozenset({0, 2, 3, 4, 5, 6, 7})"
0.06315789473684211,"frozenset({1, 2, 3, 4, 5, 6, 7})"
0.06315789473684211,"frozenset({0, 1, 2, 3, 4, 5, 6, 7})"
